date,avg_wind_speed_all_stations,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos,installed_wind_capacity_mw,predicted_wind_generation_kwh,Actual Energy created (kWh),error_kwh,absolute_error_kwh,percentage_error
2022-05-31,2.7222500000000003,20.17362852139064,0.3143445598024964,-0.9493089579913248,9000,5990743.440839298,3936778,2053965.440839298,2053965.440839298,52.17376851931448
2022-06-01,3.9355,60.95365466387499,-0.9492990067455996,0.3143746106030481,9000,12669306.5922373,19057102,-6387795.407762701,6387795.407762701,33.51923817043483
2022-06-02,3.352,37.662750208,0.1010351960560321,0.994882851977015,9000,9170728.441847086,8130029,1040699.441847086,1040699.441847086,12.800685481528859
2022-06-03,5.609666666666667,176.52701076996294,0.8741942619399138,0.4855763507331566,9000,26709998.797001168,47882668,-21172669.202998832,21172669.202998832,44.21781426840884
2022-06-04,6.565833333333333,283.054173865162,0.7945807327409249,0.6071585123811531,9000,33388534.714212075,64734611,-31346076.285787925,31346076.285787925,48.42243708823387
2022-06-05,5.39075,156.65619532104685,0.7686141556365316,0.639712654052694,9000,24923261.634901643,40904839,-15981577.365098357,15981577.365098357,39.07013878015351
2022-06-06,7.397583333333333,404.8271196400527,-0.9284901945753884,-0.3713569153487756,9000,37962028.42533863,80860314,-42898285.57466137,42898285.57466137,53.05233612456831
2022-06-07,5.565416666666667,172.38245155475985,-0.9792856008017102,-0.2024838563007763,9000,24746177.23077002,48599227,-23853049.76922998,23853049.76922998,49.081129971943746
2022-06-08,4.913666666666667,118.63615818596296,-0.5407973512384328,-0.8411529140967742,9000,20926090.440408573,24414458,-3488367.5595914274,3488367.5595914274,14.288122061081296
2022-06-09,4.892166666666666,117.08566652767128,-0.9797966813961132,-0.1999961577760027,9000,19889710.724187046,33747730,-13858019.275812954,13858019.275812954,41.06355975887253
2022-06-10,5.6931666666666665,184.5277531559213,-0.686701479744678,-0.7269395282390892,9000,26310653.24182436,37231768,-10921114.758175641,10921114.758175641,29.33278580317658
2022-06-11,5.7620000000000005,191.3021107280001,-0.8815991564049157,-0.4719988637975106,9000,26431892.57887499,37168274,-10736381.42112501,10736381.42112501,28.885875682914435
2022-06-12,4.710333333333334,104.50929667003706,-0.9865738858055746,-0.1633155468609436,9000,18544221.85750368,27925385,-9381163.142496321,9381163.142496321,33.593675225950584
2022-06-13,4.849083333333334,114.01945035027144,-0.8600260559466373,0.5102501181703651,9000,19277858.92485596,37659882,-18382023.07514404,18382023.07514404,48.810623132446466
2022-06-14,3.1645833333333333,31.69199724211516,-0.5238932234609933,0.8517839458522622,9000,7192448.76709713,4298562,2893886.7670971304,2893886.7670971304,67.32220605628419
2022-06-15,3.6800833333333336,49.83941767666725,0.7981146660200283,0.602505584939873,9000,12580838.519175686,12135413,445425.51917568594,445425.51917568594,3.6704603228228487
2022-06-16,2.0469166666666667,8.576310313395256,0.8876537758644616,0.4605114267784939,9000,816570.1139369756,2193461,-1376890.8860630244,1376890.8860630244,62.77252643484541
2022-06-17,4.78225,109.36965130764064,-0.3951502566703773,-0.9186165003162826,9000,20185310.418315828,23381669,-3196358.581684172,3196358.581684172,13.670361092205061
2022-06-18,4.6595,101.16212609487496,-0.0409074745371915,0.9991629389278752,9000,18520185.52928005,29614703,-11094517.470719948,11094517.470719948,37.46286927381966
2022-06-19,5.3755,155.330449343875,0.1143648846097448,0.9934388119900488,9000,23868123.56596757,33805667,-9937543.434032429,9937543.434032429,29.396087448984304
2022-06-20,4.937666666666667,120.38303947396298,-0.2789308576014545,0.9603111874167232,9000,20291120.35755788,35526197,-15235076.642442118,15235076.642442118,42.884062829584934
2022-06-21,2.6481666666666666,18.57102796467129,0.1289955960599947,0.9916451664769644,9000,4055993.2652182505,3399139,656854.2652182505,656854.2652182505,19.32413664808207
2022-06-22,3.5347500000000003,44.164783869046886,0.5360390442402061,0.8441931905968244,9000,11081381.061500654,14764700,-3683318.9384993464,3683318.9384993464,24.94679159413565
2022-06-23,3.4535,41.188728080375,0.9987448085557428,-0.050087996395868,9000,11550552.761638314,13146338,-1595785.2383616865,1595785.2383616865,12.138629315340033
2022-06-24,3.44375,40.84085717773438,-0.8418271145699773,-0.539747264166097,9000,9726878.089513548,9309586,417292.0895135477,417292.0895135477,4.482391478133912
2022-06-25,3.843333333333333,56.77068803703703,-0.4971063367677222,-0.8676896276580561,9000,13224409.199222922,14163219,-938809.8007770777,938809.8007770777,6.62850585574563
2022-06-26,3.675,49.633171875,-0.4931738757438657,-0.8699307606262547,9000,12003808.711312125,10547129,1456679.7113121245,1456679.7113121245,13.811149093863595
2022-06-27,2.9135,24.731193035375,-0.7905276246419396,-0.6124263830681796,9000,5953426.060166627,5912531,40895.06016662717,40895.06016662717,0.6916675813898848
2022-06-28,3.2619166666666666,34.707120634957754,-0.4999171887250156,-0.8660732096175687,9000,8979634.355540559,11300654,-2321019.6444594413,2321019.6444594413,20.538808147381925
2022-06-29,3.5155000000000003,43.44715134887501,0.9738266238320178,-0.2272921175842526,9000,12083398.346563354,12782304,-698905.6534366459,698905.6534366459,5.467759595114041
2022-06-30,4.114166666666667,69.63789638483797,-0.9998960554245232,0.0144179869079856,9000,14095665.548749648,22916498,-8820832.451250352,8820832.451250352,38.49118853696735
2022-07-01,6.087083333333334,225.5421635220632,-0.778596935779347,-0.6275243513960327,9000,28971455.62769483,45083671,-16112215.37230517,16112215.37230517,35.738472522135936
2022-07-02,4.400833333333334,85.2324091672454,-0.6096339809145431,-0.7926830446744061,9000,17105608.21859006,22218509,-5112900.781409942,5112900.781409942,23.01189868955627
2022-07-03,4.2482500000000005,76.67083591651566,-0.982963632467816,-0.1838001557281064,9000,15209902.799055658,18132517,-2922614.2009443417,2922614.2009443417,16.11808333583441
2022-07-04,4.2781666666666665,78.30204395050461,-0.9862049792863202,-0.1655286646803773,9000,15412396.67282246,26141463,-10729066.32717754,10729066.32717754,41.04233312105577
2022-07-05,4.446666666666667,87.92324829629632,-0.8952801830229117,0.4455035284781275,9000,16363426.8777773,28477931,-12114504.1222227,12114504.1222227,42.539972873109
2022-07-06,5.147166666666666,136.36555775642125,-0.9987904555214884,-0.0491693599630679,9000,21618194.433706623,29860928,-8242733.566293377,8242733.566293377,27.603742141883124
2022-07-07,8.09775,530.9982555073593,-0.5279106742527845,0.8492998999234431,9000,42581980.40121701,73518367,-30936386.598782986,30936386.598782986,42.079806531588204
