date,Random Forest,avg_wind_speed_all_stations,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed
time,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,
2022-07-04,7.20922e+06,4.27817,4.06114,260.472,78.302
2022-07-05,1.098e+07,4.44667,3.98063,296.456,87.9232
2022-07-06,1.09375e+07,5.14717,4.71215,267.182,136.366
2022-07-07,2.61e+07,8.09775,7.718,328.136,530.998
2022-07-08,5.55801e+06,3.62625,3.41638,291.958,47.6841
2022-07-09,1.63528e+07,5.6355,5.04524,332.091,178.977
2022-07-10,1.06329e+07,4.617,4.31726,316.742,98.4192
2022-07-11,2.34931e+06,2.78658,2.29888,355.072,21.6379
2022-07-12,2.2035e+06,2.95283,2.17925,196.631,25.7464
2022-07-13,8.18244e+06,4.29258,2.65071,311.793,79.0963
2022-07-14,8.86253e+06,3.778,3.33965,331.935,53.9245
2022-07-15,9.20145e+06,4.2945,3.75484,280.388,79.2023
2022-07-16,1.00067e+07,4.56017,4.04865,342.835,94.8292
2022-07-17,353856,2.03908,0.799326,137.096,8.47822
2022-07-18,539438,2.39533,1.48735,174.538,13.7435
2022-07-19,3.67835e+06,4.01308,3.83214,136.956,64.6301
2022-07-20,1.285e+07,5.37892,4.74043,234.549,155.627
2022-07-21,1.37093e+07,5.533,3.9822,316.45,169.388
2022-07-22,3.48169e+06,2.99067,2.68304,351.156,26.7488
2022-07-23,678933,2.42383,0.632238,307.525,14.2399
2022-07-24,8.65847e+06,4.96258,4.6605,214.882,122.215
2022-07-25,2.23833e+07,6.7045,6.4743,242.063,301.369
2022-07-26,1.94852e+07,5.38208,4.96118,337.58,155.902
2022-07-27,7.32059e+06,4.12767,3.75742,5.80468,70.3257
2022-07-28,1.02742e+07,4.64342,4.50822,69.3745,100.118
2022-07-29,7.22464e+06,4.20892,3.42314,21.9188,74.5609
2022-07-30,2.20153e+06,3.11367,2.05134,275.09,30.1867
2022-07-31,1.62463e+07,5.98975,5.07965,247.465,214.895
2022-08-01,4.25013e+06,3.45717,2.60289,9.58937,41.3201
2022-08-02,1.51596e+07,5.9175,5.12826,214.956,207.212
2022-08-03,9.88701e+06,4.59158,4.27439,225.345,96.8027
2022-08-04,4.17396e+06,3.60483,2.33006,310.481,46.8442
2022-08-05,9.64143e+06,4.90392,4.45765,334.739,117.931
2022-08-06,4.08952e+06,3.21642,2.80742,332.798,33.2749
2022-08-07,1.96463e+06,2.65458,1.84359,334.93,18.7064
2022-08-08,5.04771e+06,3.56767,3.17649,8.29633,45.4101
2022-08-09,7.17879e+06,4.114,3.93002,35.1956,69.6294
2022-08-10,6.11891e+06,4.32442,4.20519,55.5668,80.8691
2022-08-11,6.87187e+06,4.02233,3.8744,61.8704,65.078
2022-08-12,7.92201e+06,4.21183,4.06942,62.1972,74.716
2022-08-13,3.46637e+06,3.50817,2.81865,87.8367,43.1758
2022-08-14,3.78035e+06,3.63133,2.99133,86.0338,47.8849
2022-08-15,2.54491e+06,3.37542,2.31066,223.764,38.4576
2022-08-16,3.58354e+06,3.68975,2.36598,230.309,50.2332
2022-08-17,5.73002e+06,3.88533,2.98324,46.6501,58.6523
2022-08-18,1.0648e+06,2.65908,2.07263,6.34019,18.8016
2022-08-19,4.50746e+06,3.86308,3.01704,251.101,57.6504
2022-08-20,4.95224e+06,3.82558,2.83157,258.396,55.9877
2022-08-21,5.49094e+06,3.88592,2.86311,244.921,58.6787
2022-08-22,749564,2.7785,2.29783,100.478,21.4502
2022-08-23,1.88881e+06,2.8835,1.72705,221.262,23.9751
